binding_id,slot,enabled,ref_kind,ref_id
BASS_F_B,OpenWater,True,PROFILE,BASS_F_B_OpenWater
BASS_F_B,Temperature,True,PROFILE,BASS_F_B_Temperature
BASS_F_B,Oxygen,True,PROFILE,BASS_F_B_Oxygen
BASS_F_B,ColdFront,True,SWITCH,N/A
BASS_F_B,Cover,True,PROFILE,BASS_F_B_Cover
BASS_F_B,Deep,True,PROFILE,BASS_F_B_Deep
BASS_N_R,Match,True,PROFILE,BASS_N_R_Match
BASS_N_R,Presentation,True,PROFILE,BASS_N_R_Presentation
BASS_N_R,Familiarity,True,PROFILE,BASS_N_R_Familiarity
BASS_F_R,Match,True,PROFILE,BASS_F_R_Match
BASS_F_R,Presentation,True,PROFILE,BASS_F_R_Presentation
BASS_F_R,Familiarity,True,PROFILE,BASS_F_R_Familiarity
BASS_G_R,Defense,True,PROFILE,BASS_G_R_Defense
BASS_C_R,Match,True,PROFILE,BASS_C_R_Match
BASS_C_R,Presentation,True,PROFILE,BASS_C_R_Presentation
BASS_C_R,Salience,True,PROFILE,BASS_C_R_Salience
BASS_C_R,Pursuit,True,PROFILE,BASS_C_R_Pursuit
BASS_S_R,Match,True,PROFILE,BASS_S_R_Match
BASS_S_R,Presentation,True,PROFILE,BASS_S_R_Presentation
BASS_S_R,Salience,True,PROFILE,BASS_S_R_Salience
BASS_S_R,Pursuit,True,PROFILE,BASS_S_R_Pursuit
