record_type,p_per_opportunity,opportunities_per_minute,expected_engagements_per_minute_analytical,expected_engagements_per_minute_simulated,p_at_least_one_per_minute_analytical,p_at_least_one_per_minute_simulated,mc_60_minute_sessions,mc_equivalent_opportunities,rate_a_over_rate_b,p_a_over_p_b,weaker_per_event_b_stronger_per_minute,rate_a,rate_b,p_a,p_b,engagements_per_minute_a_analytical,engagements_per_minute_b_analytical,engagements_per_minute_a_simulated,engagements_per_minute_b_simulated
opportunity_cadence,0.4,20,8.0,7.998860911270983,0.9999634384155993,0.99994,834,1000800,,,,,,,,,,,
opportunity_cadence,0.4,40,16.0,15.999120703437251,0.9999999986632505,1.0,417,1000800,,,,,,,,,,,
opportunity_cadence,0.4,60,24.0,24.036390887290167,0.9999999999999512,1.0,278,1000800,,,,,,,,,,,
technique_comparison,,,,,,,,2000000,0.5,1.5,True,5.0,10,0.07500000000000001,0.05,0.37500000000000006,0.5,0.374455,0.50139
technique_comparison,,,,,,,,2000000,0.5,2.0,False,5.0,10,0.1,0.05,0.5,0.5,0.498155,0.49826000000000004
technique_comparison,,,,,,,,2000000,0.5,3.0,False,5.0,10,0.15000000000000002,0.05,0.7500000000000001,0.5,0.74971,0.4972
technique_comparison,,,,,,,,2000000,0.5,5.0,False,5.0,10,0.25,0.05,1.25,0.5,1.252485,0.49856999999999996
technique_comparison,,,,,,,,2000000,0.2,1.5,True,2.0,10,0.07500000000000001,0.05,0.15000000000000002,0.5,0.15073,0.5004
technique_comparison,,,,,,,,2000000,0.2,2.0,True,2.0,10,0.1,0.05,0.2,0.5,0.199898,0.49835999999999997
technique_comparison,,,,,,,,2000000,0.2,3.0,True,2.0,10,0.15000000000000002,0.05,0.30000000000000004,0.5,0.299914,0.50108
technique_comparison,,,,,,,,2000000,0.2,5.0,False,2.0,10,0.25,0.05,0.5,0.5,0.500232,0.49807999999999997
technique_comparison,,,,,,,,2000000,0.1,1.5,True,1.0,10,0.07500000000000001,0.05,0.07500000000000001,0.5,0.075031,0.50052
technique_comparison,,,,,,,,2000000,0.1,2.0,True,1.0,10,0.1,0.05,0.1,0.5,0.099509,0.49577000000000004
technique_comparison,,,,,,,,2000000,0.1,3.0,True,1.0,10,0.15000000000000002,0.05,0.15000000000000002,0.5,0.150134,0.49596
technique_comparison,,,,,,,,2000000,0.1,5.0,True,1.0,10,0.25,0.05,0.25,0.5,0.249586,0.49882000000000004
